순위,팀,경기,승,무,패,승률,게임차,연속,타수,안타,2타,3타,홈런,타점,득점,도루,사사구_x,삼진,병살,타율,출루율,장타율,OPS,이닝,피안타,피홈런,실점,자책,사사구_y,탈삼진,평균자책,실책,WHIP,QS,홀드,세이브,연도
1.0,SK,126.0,73.0,5.0,48.0,0.603,0.0,1승,4236.0,1118.0,212.0,20.0,112.0,568.0,603.0,136.0,518.0,750.0,86.0,0.264,0.341,0.403,0.744,1139.3333333333333,1079.0,77.0,465.0,409.0,512.0,650.0,3.23,88.0,1.34,58.0,77.0,36.0,2007
2.0,두산,126.0,70.0,2.0,54.0,0.565,4.5,1패,4199.0,1103.0,209.0,32.0,78.0,543.0,578.0,161.0,537.0,748.0,102.0,0.263,0.343,0.383,0.726,1131.3333333333333,1067.0,74.0,480.0,432.0,474.0,721.0,3.44,73.0,1.3,57.0,42.0,30.0,2007
3.0,한화,126.0,67.0,2.0,57.0,0.54,7.5,1승,4128.0,1050.0,165.0,13.0,104.0,502.0,534.0,48.0,562.0,705.0,128.0,0.254,0.342,0.376,0.718,1119.0,1084.0,84.0,481.0,440.0,504.0,741.0,3.54,76.0,1.37,66.0,36.0,39.0,2007
4.0,삼성,126.0,62.0,4.0,60.0,0.508,11.5,2패,4186.0,1062.0,191.0,9.0,86.0,469.0,497.0,101.0,574.0,678.0,93.0,0.254,0.341,0.365,0.706,1131.6666666666667,1091.0,90.0,509.0,466.0,458.0,719.0,3.71,87.0,1.32,42.0,51.0,41.0,2007
5.0,LG,126.0,58.0,6.0,62.0,0.483,14.5,1패,4322.0,1160.0,186.0,19.0,78.0,508.0,532.0,130.0,479.0,704.0,107.0,0.268,0.338,0.374,0.713,1135.6666666666667,1181.0,63.0,600.0,547.0,566.0,630.0,4.33,94.0,1.49,58.0,58.0,34.0,2007
6.0,현대,126.0,56.0,1.0,69.0,0.448,19.0,2승,4260.0,1154.0,178.0,7.0,96.0,507.0,530.0,51.0,503.0,653.0,111.0,0.271,0.346,0.384,0.729,1127.0,1104.0,119.0,615.0,552.0,514.0,796.0,4.41,96.0,1.39,44.0,46.0,27.0,2007
7.0,롯데,126.0,55.0,3.0,68.0,0.447,19.0,2승,4273.0,1152.0,193.0,18.0,76.0,501.0,533.0,67.0,478.0,763.0,87.0,0.27,0.34,0.377,0.717,1120.6666666666667,1164.0,93.0,554.0,513.0,483.0,704.0,4.12,82.0,1.41,59.0,24.0,22.0,2007
8.0,KIA,126.0,51.0,1.0,74.0,0.408,24.0,1패,4204.0,1080.0,198.0,16.0,73.0,465.0,499.0,70.0,483.0,630.0,117.0,0.257,0.33,0.364,0.694,1109.6666666666667,1109.0,103.0,602.0,554.0,623.0,670.0,4.49,77.0,1.47,43.0,27.0,26.0,2007
1.0,SK,126.0,83.0,0.0,43.0,0.659,0.0,2패,4332.0,1222.0,215.0,23.0,89.0,590.0,632.0,170.0,553.0,735.0,99.0,0.282,0.361,0.404,0.765,1151.0,1053.0,78.0,461.0,412.0,503.0,801.0,3.22,102.0,1.3,52.0,72.0,43.0,2008
2.0,두산,126.0,70.0,0.0,56.0,0.556,13.0,2패,4344.0,1198.0,166.0,37.0,68.0,598.0,647.0,189.0,550.0,719.0,115.0,0.276,0.354,0.378,0.732,1134.6666666666667,1115.0,78.0,542.0,490.0,448.0,780.0,3.89,92.0,1.32,41.0,37.0,26.0,2008
3.0,롯데,126.0,69.0,0.0,57.0,0.548,14.0,1패,4256.0,1200.0,199.0,22.0,93.0,590.0,624.0,133.0,521.0,728.0,97.0,0.282,0.356,0.405,0.761,1119.0,1134.0,70.0,518.0,453.0,456.0,671.0,3.64,92.0,1.38,68.0,38.0,27.0,2008
4.0,삼성,126.0,65.0,0.0,61.0,0.516,18.0,1승,4180.0,1078.0,186.0,16.0,92.0,520.0,557.0,59.0,570.0,699.0,115.0,0.258,0.344,0.376,0.72,1123.3333333333333,1184.0,87.0,596.0,549.0,459.0,703.0,4.4,69.0,1.42,27.0,48.0,40.0,2008
