순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,SSG,144,88,52,4,0.629,0,4승0무6패,4패,49-0-23,1939-04-29
2,키움,144,80,62,2,0.563,9,5승0무5패,1승,39-1-32,1941-01-30
3,LG,144,87,55,2,0.613,2,4승0무6패,1승,38-1-33,1949-01-22
4,KT,144,80,62,2,0.563,9,7승0무3패,1패,1940-01-31,1940-01-31
5,KIA,144,70,73,1,0.49,19.5,7승0무3패,1패,31-0-41,39-1-32
6,NC,144,67,74,3,0.475,21.5,6승0무4패,1패,35-3-34,32-0-40
7,삼성,144,66,76,2,0.465,23,6승0무4패,2승,33-2-37,33-0-39
8,롯데,144,64,76,4,0.457,24,5승0무5패,1승,27-3-42,37-1-34
9,두산,144,60,82,2,0.423,29,4승0무6패,2패,29-1-42,31-1-40
10,한화,144,46,96,2,0.324,43,3승0무7패,1패,28-0-44,18-2-52
