날짜,요일,홈,방문,구장,관중수
2023-04-01,토,키움,한화,고척,"16,000"
2023-04-01,토,SSG,KIA,문학,"23,000"
2023-04-01,토,KT,LG,수원,"18,700"
2023-04-01,토,두산,롯데,잠실,"23,750"
2023-04-01,토,삼성,NC,대구,"24,000"
2023-04-02,일,키움,한화,고척,"11,562"
2023-04-02,일,SSG,KIA,문학,"23,000"
2023-04-02,일,KT,LG,수원,"14,700"
2023-04-02,일,두산,롯데,잠실,"23,750"
2023-04-02,일,삼성,NC,대구,"18,483"
2023-04-04,화,삼성,한화,대구,"5,936"
2023-04-04,화,키움,LG,고척,"4,510"
2023-04-04,화,SSG,롯데,문학,"5,809"
2023-04-04,화,두산,NC,잠실,"3,924"
2023-04-05,수,키움,LG,고척,"4,194"
2023-04-05,수,두산,NC,잠실,"2,172"
2023-04-06,목,삼성,한화,대구,"6,525"
2023-04-06,목,키움,LG,고척,"4,556"
2023-04-06,목,두산,NC,잠실,"3,724"
2023-04-07,금,롯데,KT,사직,"14,734"
2023-04-07,금,KIA,두산,광주,"12,821"
2023-04-07,금,한화,SSG,대전,"10,415"
2023-04-07,금,LG,삼성,잠실,"17,201"
2023-04-07,금,NC,키움,창원,"6,867"
2023-04-08,토,롯데,KT,사직,"16,555"
2023-04-08,토,KIA,두산,광주,"16,432"
2023-04-08,토,한화,SSG,대전,"11,232"
2023-04-08,토,LG,삼성,잠실,"22,141"
2023-04-08,토,NC,키움,창원,"9,763"
2023-04-09,일,롯데,KT,사직,"12,283"
2023-04-09,일,KIA,두산,광주,"14,070"
2023-04-09,일,한화,SSG,대전,"9,455"
2023-04-09,일,LG,삼성,잠실,"20,439"
2023-04-09,일,NC,키움,창원,"7,686"
2023-04-11,화,KIA,한화,광주,"3,623"
2023-04-11,화,NC,KT,창원,"2,069"
2023-04-11,화,롯데,LG,사직,"5,286"
2023-04-11,화,삼성,SSG,대구,"3,907"
2023-04-11,화,두산,키움,잠실,"4,372"
2023-04-12,수,KIA,한화,광주,"5,252"
2023-04-12,수,NC,KT,창원,"2,448"
2023-04-12,수,롯데,LG,사직,"6,519"
2023-04-12,수,삼성,SSG,대구,"5,405"
2023-04-13,목,KIA,한화,광주,"5,457"
2023-04-13,목,NC,KT,창원,"3,174"
2023-04-13,목,롯데,LG,사직,"6,505"
2023-04-13,목,삼성,SSG,대구,"4,648"
2023-04-13,목,두산,키움,잠실,"6,917"
2023-04-14,금,KT,한화,수원,"7,145"
2023-04-14,금,키움,KIA,고척,"8,043"
2023-04-14,금,삼성,롯데,대구,"9,124"
2023-04-14,금,SSG,NC,문학,"8,218"
2023-04-14,금,LG,두산,잠실,"16,528"
2023-04-15,토,KT,한화,수원,"13,212"
2023-04-15,토,키움,KIA,고척,"13,752"
2023-04-15,토,삼성,롯데,대구,"18,231"
2023-04-15,토,SSG,NC,문학,"13,956"
2023-04-15,토,LG,두산,잠실,"21,243"
2023-04-16,일,KT,한화,수원,"13,010"
2023-04-16,일,키움,KIA,고척,"11,265"
2023-04-16,일,삼성,롯데,대구,"16,076"
2023-04-16,일,SSG,NC,문학,"13,460"
2023-04-16,일,LG,두산,잠실,"20,090"
2023-04-18,화,롯데,KIA,사직,"3,829"
2023-04-18,화,LG,NC,잠실,"6,574"
2023-04-18,화,한화,두산,대전,"4,012"
2023-04-18,화,KT,SSG,수원,"3,398"
2023-04-18,화,키움,삼성,고척,"3,104"
2023-04-19,수,롯데,KIA,사직,"4,869"
2023-04-19,수,LG,NC,잠실,"7,090"
2023-04-19,수,한화,두산,대전,"4,212"
2023-04-19,수,KT,SSG,수원,"3,405"
2023-04-19,수,키움,삼성,고척,"3,869"
2023-04-20,목,롯데,KIA,사직,"6,423"
2023-04-20,목,LG,NC,잠실,"9,090"
2023-04-20,목,한화,두산,대전,"4,122"
2023-04-20,목,KT,SSG,수원,"4,472"
2023-04-20,목,키움,삼성,고척,"3,918"
2023-04-21,금,두산,KT,잠실,"6,896"
2023-04-21,금,한화,LG,대전,"6,004"
2023-04-21,금,NC,롯데,창원,"12,613"
2023-04-21,금,KIA,삼성,광주,"6,870"
2023-04-21,금,SSG,키움,문학,"12,374"
2023-04-22,토,두산,KT,잠실,"13,410"
2023-04-22,토,한화,LG,대전,"11,152"
2023-04-22,토,NC,롯데,창원,"15,130"
2023-04-22,토,KIA,삼성,광주,"12,990"
2023-04-22,토,SSG,키움,문학,"16,535"
2023-04-23,일,두산,KT,잠실,"10,151"
2023-04-23,일,한화,LG,대전,"9,023"
2023-04-23,일,NC,롯데,창원,"13,286"
2023-04-23,일,KIA,삼성,광주,"10,026"
2023-04-23,일,SSG,키움,문학,"15,878"
2023-04-25,화,키움,KT,고척,"2,956"
2023-04-25,화,KIA,NC,광주,"2,216"
2023-04-25,화,LG,SSG,잠실,"7,344"
2023-04-26,수,롯데,한화,사직,"7,905"
2023-04-26,수,키움,KT,고척,"2,489"
2023-04-26,수,KIA,NC,광주,"4,798"
2023-04-26,수,삼성,두산,대구,"9,213"
2023-04-26,수,LG,SSG,잠실,"10,419"
2023-04-27,목,롯데,한화,사직,"10,393"
2023-04-27,목,키움,KT,고척,"3,024"
2023-04-27,목,KIA,NC,광주,"6,017"
2023-04-27,목,삼성,두산,대구,"8,473"
2023-04-27,목,LG,SSG,잠실,"13,061"
2023-04-28,금,LG,KIA,잠실,"22,695"
2023-04-28,금,한화,NC,대전,"7,242"
2023-04-28,금,SSG,두산,문학,"14,909"
2023-04-28,금,KT,삼성,수원,"7,314"
