연도,삼성,KIA,롯데,LG,두산,한화,SSG,키움,NC,KT,현대,계
계,"18,431,065","16,489,371","29,286,058","33,110,195","27,741,517","12,787,631","16,069,160","6,879,386","4,852,739","4,546,050","6,339,786","177,952,833"
2023,"845,775","717,025","891,745","1,202,637","969,562","566,785","1,068,211","583,629","557,607","697,350",,"8,100,326"
2022,"674,452","604,394","631,656","930,163","644,614","358,190","981,546","349,773","369,018","532,268",,"6,076,074"
2021,"278,222","104,989","138,294","116,691","98,036","103,960","118,412","67,407","128,289","74,189",,"1,228,489"
2020,"27,819","21,198","36,717","41,317","55,047","19,962","30,608","27,158","45,992","22,499",,"328,317"
2019,"691,681","692,163","679,208","1,000,400","983,474","555,225","982,962","453,886","710,274","536,735",,"7,286,008"
2018,"752,310","861,729","901,634","1,108,677","1,112,066","734,110","1,037,211","454,574","442,872","668,559",,"8,073,742"
2017,"704,857","1,024,830","1,038,492","1,134,846","1,094,829","593,251","892,541","699,380","531,121","686,541",,"8,400,688"
2016,"851,417","773,499","852,639","1,157,646","1,165,020","660,472","865,194","782,121","549,125","682,444",,"8,339,577"
2015,"524,971","710,141","800,962","1,053,405","1,120,381","657,385","814,349","510,802","522,669","645,465",,"7,360,530"
2014,"505,045","663,430","830,820","1,167,400","1,128,298","475,126","829,822","442,941","467,033",,,"6,509,915"
2013,"451,483","470,526","770,731","1,289,297","1,152,615","386,893","912,042","479,619","528,739",,,"6,441,945"
2012,"544,859","502,016","1,368,995","1,259,480","1,291,703","519,794","1,069,929","599,381",,,,"7,156,157"
2011,"508,645","592,653","1,358,322","1,191,715","1,253,735","464,871","998,660","441,427",,,,"6,810,028"
2010,"455,246","436,285","1,175,665","1,010,078","1,070,673","397,297","983,886","399,496",,,,"5,928,626"
2009,"387,389","582,005","1,380,018","975,333","1,053,966","375,589","841,270","329,715",,,,"5,925,285"
2008,"387,231","367,794","1,379,735","806,662","929,600","372,986","754,247","258,077",,,,"5,256,332"
2007,"336,936","207,232","759,513","901,172","786,054","322,537","656,426",,,,"134,559","4,104,429"
