"행정구역(시군구)별",2021,2022,2023
"전국",23472895,23705814,23914851
"서울특별시",4426007,4446296,4469417
"종로구",73494,72524,72067
"중구",63519,63139,64714
"용산구",111036,109805,107825
"성동구",134233,133305,133089
"광진구",167949,169291,170077
"동대문구",168219,169873,172801
"중랑구",185712,187413,188097
"성북구",195017,197082,196800
"강북구",144536,144313,143560
"도봉구",138656,138356,138261
"노원구",217378,217540,217904
"은평구",214711,213876,215721
"서대문구",143647,145797,146845
"마포구",179861,180084,181090
"양천구",181404,181187,180695
"강서구",271175,273697,274084
"구로구",180929,183655,184096
"금천구",117595,119583,120381
"영등포구",187020,188832,190737
"동작구",184812,185773,186675
"관악구",276597,283623,284578
"서초구",170244,167749,169884
"강남구",234233,232777,239775
"송파구",282417,284853,285927
"강동구",201613,202169,203734
"부산광역시",1544663,1555867,1564588
"중구",23925,23960,23747
"서구",52960,53626,53630
"동구",46362,46349,47428
"영도구",54659,54342,54293
"부산진구",173353,178049,181914
"동래구",115718,119503,119706
"남구",117821,117601,118427
"북구",123316,123569,123082
"해운대구",172397,170435,169532
"사하구",139604,140778,140764
"금정구",108070,106950,105906
"강서구",61502,62426,62238
"연제구",93606,93557,95873
"수영구",85896,87361,88299
"사상구",98621,98625,100003
"기장군",76853,78736,79746
"대구광역시",1063893,1070873,1094148
"중구",38370,40749,44871
"동구",158423,159422,162691
"서구",82301,81116,83949
"남구",76256,76401,75887
"북구",190956,192697,191349
"수성구",171239,171480,171939
"달서구",234950,235883,235685
"달성군",111398,113125,114189
"군위군",-,-,13588
"인천광역시",1298647,1322632,1350912
"중구",71061,75960,79520
"중구영종출장소",-,0,0
"중구용유출장소",-,0,0
"동구",28681,27618,28091
"미추홀구",193561,194841,196607
"연수구",155984,156047,159905
"남동구",228442,226763,224268
"부평구",213372,217924,223271
"계양구",127984,127201,125640
"서구",232834,248741,266168
"서구검단출장소",-,0,0
"강화군",34667,35114,35005
"옹진군",12061,12423,12437
"광주광역시",645712,652355,655433
"동구",52362,54072,55283
"서구",132808,133554,133816
"남구",95722,95868,95417
"북구",195695,198085,199280
"광산구",169125,170776,171637
"대전광역시",664417,673429,680261
"동구",107832,108640,108996
"중구",107609,107692,106885
"서구",213592,216539,217305
"유성구",155450,160305,166767
"대덕구",79934,80253,80308
"중구",93633,93055,94372
"남구",138512,139525,140162
"동구",66201,66282,67743
"북구",85815,87153,87865
"울주군",98489,100128,100548
"세종시",153649,159386,160835
"수원시",517822,528482,537078
"장안구",118432,118811,119900
"권선구",157041,161085,163796
"팔달구",91278,95950,98505
"영통구",151071,152636,154877
"성남시",409320,408195,409602
"수정구",114620,113458,116390
"중원구",100328,100139,101034
"분당구",194372,194598,192178
"의정부시",205792,208352,209891
"안양시",224620,227475,227627
"만안구",103012,102550,101831
"동안구",121608,124925,125796
"부천시",347024,344135,344096
"광명시",119817,118493,115114
"평택시",262097,271362,279835
"송탄출장소",-,0,0
"안중출장소",-,0,0
"동두천시",44369,43973,43366
