선수명,연도,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,SO,GDP,SLG,OBP,E
이대형,2003,LG,0.245,47,58,53,12,13,2,2,0,19,4,7,3,2,0,12,0,0.358,0.273,1
이대형,2004,LG,0.091,13,12,11,1,1,0,0,0,1,0,2,1,0,0,4,0,0.091,0.091,0
이대형,2005,LG,0.268,107,142,127,40,34,4,1,0,40,5,37,9,11,1,35,2,0.315,0.331,0
이대형,2006,LG,0.258,87,169,155,23,40,3,0,0,43,4,15,8,5,0,35,1,0.277,0.281,1
이대형,2007,LG,0.308,125,509,451,68,139,13,1,1,157,31,53,20,38,5,54,3,0.348,0.367,4
이대형,2008,LG,0.264,126,574,523,71,138,5,2,0,147,33,63,15,39,2,80,3,0.281,0.317,2
이대형,2009,LG,0.28,133,597,521,92,146,10,2,2,166,41,64,18,50,0,77,8,0.319,0.341,4
이대형,2010,LG,0.261,130,568,494,73,129,14,2,1,150,43,66,21,58,2,76,3,0.304,0.341,2
이대형,2011,LG,0.249,104,398,354,56,88,11,5,1,112,24,34,17,30,2,78,0,0.316,0.31,0
이대형,2012,LG,0.178,101,291,258,32,46,4,4,1,61,19,25,3,25,1,53,5,0.236,0.253,0
이대형,2013,LG,0.237,102,204,177,36,42,5,1,1,52,10,13,9,19,1,45,1,0.294,0.312,2
이대형,2014,KIA,0.323,126,505,461,75,149,15,9,1,185,40,22,15,35,2,57,5,0.401,0.372,3
이대형,2015,KT,0.302,140,616,546,86,165,23,3,0,194,37,44,14,53,6,92,5,0.355,0.37,2
이대형,2016,KT,0.32,143,654,600,89,192,14,3,1,215,42,37,20,44,2,90,6,0.358,0.368,2
이대형,2017,KT,0.267,100,366,337,51,90,8,3,0,104,24,23,4,24,0,54,8,0.309,0.315,2
이대형,2018,KT,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
이대형,2019,KT,0.143,18,19,14,2,2,1,0,0,3,4,0,0,4,0,5,0,0.214,0.316,0
박해민,2013,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0
박해민,2014,삼성,0.297,119,373,310,65,92,11,4,1,114,31,36,8,37,6,45,4,0.368,0.381,3
박해민,2015,삼성,0.293,144,608,525,96,154,22,7,0,190,47,60,8,56,2,126,8,0.362,0.362,3
박해민,2016,삼성,0.3,141,641,564,109,169,26,12,4,231,61,52,15,49,3,87,6,0.41,0.357,2
박해민,2017,삼성,0.284,144,638,570,96,162,25,8,7,224,54,40,12,50,1,78,6,0.393,0.338,1
박해민,2018,삼성,0.299,144,649,576,114,172,30,10,9,249,68,36,10,56,3,99,9,0.432,0.36,2
박해민,2019,삼성,0.239,144,581,506,64,121,16,7,5,166,44,24,7,58,2,82,4,0.328,0.318,2
박해민,2020,삼성,0.29,132,541,489,84,142,18,5,11,203,55,34,12,39,3,77,7,0.415,0.345,0
박해민,2021,삼성,0.291,127,542,454,78,132,22,1,5,171,54,36,15,69,3,82,3,0.377,0.383,1
박해민,2022,LG,0.289,144,636,570,97,165,20,8,3,210,49,24,6,44,9,85,4,0.368,0.347,2
박해민,2023,LG,0.285,144,558,485,80,138,14,2,6,174,59,26,12,45,3,74,7,0.359,0.348,3
이종욱,2006,두산,0.284,120,448,388,76,110,14,6,1,139,32,51,7,40,7,60,1,0.358,0.36,6
이종욱,2007,두산,0.316,123,528,465,84,147,20,12,1,194,46,47,14,48,4,74,6,0.417,0.382,0
이종욱,2008,두산,0.301,122,522,458,98,138,14,5,0,162,28,47,8,52,4,53,4,0.354,0.376,2
이종욱,2009,두산,0.276,82,344,312,48,86,11,4,1,108,28,37,6,28,0,38,5,0.346,0.334,3
이종욱,2010,두산,0.312,114,471,413,66,129,16,2,5,164,45,30,13,45,4,46,3,0.397,0.383,2
이종욱,2011,두산,0.303,121,499,436,64,132,11,5,5,168,44,20,15,49,5,51,6,0.385,0.377,4
이종욱,2012,두산,0.24,121,497,437,57,105,17,1,0,124,39,21,8,43,3,43,2,0.284,0.309,4
이종욱,2013,두산,0.307,110,456,401,77,123,23,6,6,176,52,30,7,38,3,57,6,0.439,0.369,2
이종욱,2014,NC,0.288,124,495,438,73,126,28,4,6,180,78,15,4,40,3,60,5,0.411,0.342,3
이종욱,2015,NC,0.268,125,504,440,63,118,25,2,5,162,52,17,4,54,3,78,5,0.368,0.35,1
이종욱,2016,NC,0.305,134,517,453,73,138,24,4,5,185,57,15,3,54,1,73,11,0.408,0.376,2
이종욱,2017,NC,0.308,107,355,318,52,98,15,0,5,128,34,9,2,28,5,30,5,0.403,0.371,0
