연도,순위,선수명,팀명,G,SBA,SB,CS,SB%,OOB,PKO
2023,1,정수빈,두산,137,47,39,8,83,5,3
,2,신민재,LG,122,54,37,17,68.5,6,1
,3,박찬호,KIA,130,38,30,8,78.9,5,1
,4,박해민,LG,144,38,26,12,68.4,11,2
,4,박민우,NC,124,33,26,7,78.8,4,1
,4,류지혁,삼성,132,28,26,2,92.9,7,2
,4,조수행,두산,126,32,26,6,81.3,4,0
,8,김혜성,키움,137,28,25,3,89.3,6,2
,8,김도영,KIA,84,29,25,4,86.2,2,2
,10,문성주,LG,136,38,24,14,63.2,6,2
,11,홍창기,LG,141,46,23,23,50,10,3
,12,최지훈,SSG,117,23,21,2,91.3,4,3
,13,오태곤,SSG,123,21,20,1,95.2,2,0
,13,김성윤,삼성,101,24,20,4,83.3,1,0
,15,알포드,KT,133,21,17,4,81,12,1
,16,오지환,LG,126,23,16,7,69.6,7,2
,16,김민석,롯데,129,19,16,3,84.2,3,2
,16,안권수,롯데,95,23,16,7,69.6,2,2
,19,소크라테스,KIA,142,21,15,6,71.4,3,1
,19,김주원,NC,127,18,15,3,83.3,6,1
,19,마틴,NC,118,18,15,3,83.3,9,1
,19,박승욱,롯데,123,19,15,4,78.9,1,0
,23,손아섭,NC,140,17,14,3,82.4,4,1
,24,배정대,KT,97,16,13,3,81.3,3,0
,24,최원준,KIA,67,18,13,5,72.2,1,1
,24,김지찬,삼성,99,14,13,1,92.9,4,1
,24,강승호,두산,127,19,13,6,68.4,4,1
,24,이원석,한화,81,16,13,3,81.3,3,0
,29,에레디아,SSG,122,20,12,8,60,5,1
,29,구자욱,삼성,119,16,12,4,75,4,2
,29,이유찬,두산,104,17,12,5,70.6,3,1
,32,하재훈,SSG,77,11,11,0,100,0,1
2022,1,박찬호,KIA,130,50,42,8,84,7,0
,2,김혜성,키움,129,41,34,7,82.9,4,1
,3,최지훈,SSG,144,38,31,7,81.6,5,3
,4,김지찬,삼성,113,29,25,4,86.2,3,0
,5,박해민,LG,144,30,24,6,80,8,1
,6,심우준,KT,132,25,23,2,92,3,0
,7,조수행,두산,117,29,22,7,75.9,2,0
,8,박민우,NC,104,25,21,4,84,9,1
,9,오지환,LG,142,27,20,7,74.1,5,2
,9,하주석,한화,125,26,20,6,76.9,7,0
,11,배정대,KT,144,23,19,4,82.6,9,2
,11,터크먼,한화,144,30,19,11,63.3,2,1
,13,노수광,한화,117,23,17,6,73.9,8,3
,14,정수빈,두산,127,23,15,8,65.2,4,1
,14,피렐라,삼성,141,20,15,5,75,5,2
,14,추신수,SSG,112,20,15,5,75,5,1
,17,김기환,NC,73,16,14,2,87.5,1,3
,18,강승호,두산,134,18,13,5,72.2,2,1
,18,홍창기,LG,118,17,13,4,76.5,1,0
,18,김도영,KIA,103,16,13,3,81.3,7,0
,18,김선빈,KIA,140,15,13,2,86.7,10,0
,22,이용규,키움,86,14,12,2,85.7,7,0
,22,박성한,SSG,140,20,12,8,60,2,0
,22,최정,SSG,121,17,12,5,70.6,4,0
,22,마티니,NC,139,16,12,4,75,5,0
,22,소크라테스,KIA,127,19,12,7,63.2,5,1
,27,구자욱,삼성,99,12,11,1,91.7,4,1
,27,오태곤,SSG,130,15,11,4,73.3,1,0
,29,허경민,두산,121,13,10,3,76.9,6,1
,29,김성윤,삼성,48,12,10,2,83.3,1,1
